project_id,section_id,task_content,completed_at,description,due,duration,completed_at_local_naive,due_date_str,due_date,project_name,parent_id,section_name,status
6f3qQ5WQMprv7xh8,6f3qgvw7C5w5wRW8,Pagar CFE,,,"{'date': datetime.date(2025, 11, 25), 'timezone': None}",,,2025-11-25,2025-11-25 00:00:00,Sin Proyecto,,PAGOS,Pendiente
6fC9MQ27h9R28JV9,,Hacer cuenta de gastos,,,"{'date': datetime.date(2025, 11, 30), 'timezone': None}",,,2025-11-30,2025-11-30 00:00:00,ISS GENERAL,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6f424RP23PCrffqw,,Revisar y documentar el alcance de los camiones.,,,"{'date': datetime.date(2025, 12, 1), 'timezone': None}",,,2025-12-01,2025-12-01 00:00:00,SEMEX - CAMIONES SINTRAM,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6fF6c6pPcGr5HCRc,,Aniversario Esveidi Toks.,,,"{'date': datetime.date(2025, 11, 25), 'timezone': None}",,,2025-11-25,2025-11-25 00:00:00,Sin Proyecto,,Sin Sección,Pendiente
6fGJqpJqRMp8q5RF,,Revisar SEARS San Agustín,,,"{'date': datetime.date(2025, 11, 24), 'timezone': None}",,,2025-11-24,2025-11-24 00:00:00,Sin Proyecto,,Sin Sección,Pendiente
6fF6F9vQGP5Gq54c,,Desayuno con flor,,,"{'date': datetime.date(2025, 11, 25), 'timezone': None}",,,2025-11-25,2025-11-25 00:00:00,Sin Proyecto,,Sin Sección,Pendiente
6fJcFx9vqjMXfCh5,,Revisar con Pablo la instalación de POC,,,"{'date': datetime.date(2025, 11, 27), 'timezone': None}",,,2025-11-27,2025-11-27 00:00:00,CEMEX POC,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
6fHXmPV5m7FqFVC7,,Levantamiento con Lucas,,,"{'date': datetime.datetime(2025, 11, 25, 10, 0), 'timezone': None}","Duration(amount=120, unit='minute')",,2025-11-25 10:00:00,2025-11-25 10:00:00,Sin Proyecto,,Sin Sección,Pendiente
6f3gJHpVF5H6WwcR,,Configuración script correo,,,"{'date': datetime.datetime(2025, 11, 25, 16, 0), 'timezone': None}","Duration(amount=120, unit='minute')",,2025-11-25 16:00:00,2025-11-25 16:00:00,Sin Proyecto,,Sin Sección,Pendiente
6fC9MQ27h9R28JV9,,Mandar reporte de pendientes a David,,,"{'date': datetime.date(2025, 11, 24), 'timezone': None}",,,2025-11-24,2025-11-24 00:00:00,ISS GENERAL,6f3xv8Rc6p43Wj4Q,Sin Sección,Pendiente
