project_id,section_id,task_content,completed_at,deadline,description,due_date,duration
6f3h7r5p7QgWmhPp,,Cumpleanos Graciela Martinez,,,,2026-08-01,
6f3q9rqqQqCV7WQh,,"Martin Gardner, Douglas Hofstadter y Raymond Smullyan",,,,None,
6f3qQ5WQMprv7xh8,6f3qgvw7C5w5wRW8,Pago Telmex 8183948378,,,,2025-11-18,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Cueva de las Iglesias -  - Durango -  - [Google Search](https://g.co/kgs/xNFuBt),,,,None,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,Sombrero australiano,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,Bandeja Paisa colombia,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,PastelerÃ­a KUCHEN.,,,,None,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Heretic la pelicula en Prime,,,,None,
6f3ghJM7Mwh77PJ2,6f3gjJfxQ6HVMRH2,7 leguas,,,,None,
6f3ghJM7Mwh77PJ2,6f3gjJp36j7Q3C82,[IntroducciÃ³n al storytelling personal (Antonio Nunez Lopez). Curso online | Domestika](https://www.domestika.org/es/courses/660-introduccion-al-storytelling-personal),,,,None,
6f3ghJM7Mwh77PJ2,6f3gjJwhrhrpVfrR,"Desarrollar idea de ""Comercial  novio, operaciones  esposo""",,,,None,
6f3h7r5p7QgWmhPp,,Cumpleanos Leonardo Brena,,,,2026-07-17,
6f3q9rqqQqCV7WQh,,Mathematics and Humor («Matemáticas y humor»),,,,None,
6f3qfC6fM5qqGxf8,,[https://www.toonly.com/special-one-time-price-fb.php](https://www.toonly.com/special-one-time-price-fb.php) (Toonly),,,,None,
6f3qMqW5vcr3XF3q,,Comprar licencias demo para Queretaro.,,,,2025-10-24,
6f3qPhr6R869hVHh,,[How to Create a Telegram Bot for Sending Notifications using Google Apps Script](https://www.labnol.org/telegram-bot-notifications-210814),,,,None,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,MANDAR RECIBOS DE PAGO QUINCENALES,,,,None,
6f3qPHVHcqjV45wv,,Terminar el flujo en MessageBird,,,,None,
6f3qQ23j64W8PmmP,6f3qfwxCPW73WXMw,BOM,,,,None,
6f3qQ23j64W8PmmP,6f3qfxQJwWrp757P,BOM,,,,None,
6f3qQ23j64W8PmmP,6f3qfv47pQ4hG5gw,BOM,,,,None,
6f3qQ23j64W8PmmP,6f3qg28rPr9GwxfP,BOM,,,,None,
6f3qQ3CVfFFXXmFm,,On Customer | Entregar planos para hacer ingenieria.,,,,None,
6f3qQ5WQMprv7xh8,6f3qgvw7C5w5wRW8,Pagar CFE,,,,2025-11-25,
6f54C3fP9RGx9G5H,,Comprar clips comida,,,,None,
6f3qQ78G8Vh2h9w5,,¿Hidalgo o Iturbide? Paco Ignacio TaiboII y compañía #FILZócalo68,,,,None,
6f3qQ5WQMprv7xh8,,RECOGER LAPTOP EN CENTRO DE SERVICIO.,,,,2025-08-19,
