project_id,section_id,task_content,completed_at,description,due,duration
6f3h7r5p7QgWmhPp,,Cumpleanos Graciela Martinez,,,"{'date': datetime.date(2026, 8, 1), 'timezone': None}",
6f3q9rqqQqCV7WQh,,"Martin Gardner, Douglas Hofstadter y Raymond Smullyan",,,,
6f3qQ5WQMprv7xh8,6f3qgvw7C5w5wRW8,Pago Telmex 8183948378,,,"{'date': datetime.date(2025, 11, 18), 'timezone': None}",
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Cueva de las Iglesias -  - Durango -  - [Google Search](https://g.co/kgs/xNFuBt),,,,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,Sombrero australiano,,,,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,Bandeja Paisa colombia,,,,
6f3ghJM7Mwh77PJ2,6f3gj5qMHpG8mQq2,PastelerÃ­a KUCHEN.,,,,
6f3ghJM7Mwh77PJ2,6f3gj7gGvvwpPJHR,Heretic la pelicula en Prime,,,,
6f3ghJM7Mwh77PJ2,6f3gjJfxQ6HVMRH2,7 leguas,,,,
6f3ghJM7Mwh77PJ2,6f3gjJp36j7Q3C82,[IntroducciÃ³n al storytelling personal (Antonio Nunez Lopez). Curso online | Domestika](https://www.domestika.org/es/courses/660-introduccion-al-storytelling-personal),,,,
6f3ghJM7Mwh77PJ2,6f3gjJwhrhrpVfrR,"Desarrollar idea de ""Comercial  novio, operaciones  esposo""",,,,
6f3h7r5p7QgWmhPp,,Cumpleanos Leonardo Brena,,,"{'date': datetime.date(2026, 7, 17), 'timezone': None}",
6f3q9rqqQqCV7WQh,,Mathematics and Humor («Matemáticas y humor»),,,,
6f3qfC6fM5qqGxf8,,[https://www.toonly.com/special-one-time-price-fb.php](https://www.toonly.com/special-one-time-price-fb.php) (Toonly),,,,
6f3qMqW5vcr3XF3q,,Comprar licencias demo para Queretaro.,,,"{'date': datetime.date(2025, 11, 3), 'timezone': None}",
6f3qPhr6R869hVHh,,[How to Create a Telegram Bot for Sending Notifications using Google Apps Script](https://www.labnol.org/telegram-bot-notifications-210814),,,,
6f3qPhr6R869hVHh,6f3qfVF6V3g2FM29,MANDAR RECIBOS DE PAGO QUINCENALES,,,,
6f3qPHVHcqjV45wv,,Terminar el flujo en MessageBird,,,,
6f3qQ23j64W8PmmP,6f3qfwxCPW73WXMw,BOM,,,,
6f3qQ23j64W8PmmP,6f3qfxQJwWrp757P,BOM,,,,
6f3qQ23j64W8PmmP,6f3qfv47pQ4hG5gw,BOM,,,,
6f3qQ23j64W8PmmP,6f3qg28rPr9GwxfP,BOM,,,,
6f3qQ3CVfFFXXmFm,,On Customer | Entregar planos para hacer ingenieria.,,,,
6f3qQ5WQMprv7xh8,6f3qgvw7C5w5wRW8,Pagar CFE,,,"{'date': datetime.date(2025, 11, 25), 'timezone': None}",
6f54C3fP9RGx9G5H,,Comprar clips comida,,,,
6f3qQ78G8Vh2h9w5,,¿Hidalgo o Iturbide? Paco Ignacio TaiboII y compañía #FILZócalo68,,,,
6f3qQ9HffpmC2pwh,,RENOVAR PAGO DOMINIO PBS,,,,
6f3qQCmvR9fm6mqW,,Hacer pre-ingeniería Pajaritos completo.,,,,
6f3qQHFrP9QP5qPw,,Sembrado de equipo,,,,
6f3qQWFj4wFVG2gC,,Solicitar apertura de VLAN para conexión de red.,,,,
6f3xjgfF4W3jhCFr,,Renovar dominio DLB,,,"{'date': datetime.date(2026, 9, 15), 'timezone': None}",
6f3xvWPhpFHcJ9wM,,Día de la Revolución,,,"{'date': datetime.date(2025, 11, 17), 'timezone': None}",
6f3xvP2834wFchpm,,Arrancar botoneras de Hikvision,,,,
6f4243m2GQHprHgV,,Subir tkt a R&D de problema con version 12,,,"{'date': datetime.date(2025, 9, 17), 'timezone': None}",
6f424RP23PCrffqw,,Revisar y documentar el alcance de los camiones.,,,"{'date': datetime.date(2025, 10, 13), 'timezone': None}",
6f424h3jXhCRC5x6,,"Solicitar licencias MCC, C5 NL",,,,
6f3gJHpVF5H6WwcR,,Cita Max,,,"{'date': datetime.datetime(2025, 10, 29, 16, 0, tzinfo=datetime.timezone.utc), 'timezone': 'America/Monterrey'}",
6f9H5X4wVw6wc2MC,,"Escuela Max $20,000.00",,,,
6f3ghJM7Mwh77PJ2,6f3ghgffWr98W3V2,Amaz restaurante / Peru,,,,
6f3ghJM7Mwh77PJ2,6f3gj22f5XW9V9xR,[Amazon.com: BenQ EX3501R 21:9 Ultrawide Curved QHD Monitor | 34 inch class (35 Inch) | HDR (3440 X 1440) | eye-care Tech | 100 Hz Refresh Rate and FreeSync for Gaming: Computers & Accessories]([https://www.amazon.com/BenQ-EX3501R-Multi-Tasking-Brightness-](https://www.amazon.com/BenQ-EX3501R-Multi-Tasking-Brightness-),,,,
6f3ghJM7Mwh77PJ2,6f3gj42QFQvvxc2R,Basmati arroz pablo,,,,
